# Function List
# Format: Function Name | Address | Size | Block Count
# ============================================================

_init                          | 0x42f000     | 27       | 3   
sub_42f020                     | 0x42f020     | 12       | 1   
sub_42f02c                     | 0x42f02c     | 4        | 1   
sub_42f030                     | 0x42f030     | 14       | 1   
sub_42f03e                     | 0x42f03e     | 2        | 1   
sub_42f040                     | 0x42f040     | 14       | 1   
sub_42f04e                     | 0x42f04e     | 2        | 1   
sub_42f050                     | 0x42f050     | 14       | 1   
sub_42f05e                     | 0x42f05e     | 2        | 1   
sub_42f060                     | 0x42f060     | 14       | 1   
sub_42f06e                     | 0x42f06e     | 2        | 1   
sub_42f070                     | 0x42f070     | 14       | 1   
sub_42f07e                     | 0x42f07e     | 2        | 1   
sub_42f080                     | 0x42f080     | 14       | 1   
sub_42f08e                     | 0x42f08e     | 2        | 1   
sub_42f090                     | 0x42f090     | 14       | 1   
sub_42f09e                     | 0x42f09e     | 2        | 1   
sub_42f0a0                     | 0x42f0a0     | 14       | 1   
sub_42f0ae                     | 0x42f0ae     | 2        | 1   
sub_42f0b0                     | 0x42f0b0     | 14       | 1   
sub_42f0be                     | 0x42f0be     | 2        | 1   
sub_42f0c0                     | 0x42f0c0     | 14       | 1   
sub_42f0ce                     | 0x42f0ce     | 2        | 1   
sub_42f0d0                     | 0x42f0d0     | 14       | 1   
sub_42f0de                     | 0x42f0de     | 2        | 1   
sub_42f0e0                     | 0x42f0e0     | 14       | 1   
sub_42f0ee                     | 0x42f0ee     | 2        | 1   
sub_42f0f0                     | 0x42f0f0     | 14       | 1   
sub_42f0fe                     | 0x42f0fe     | 2        | 1   
sub_42f100                     | 0x42f100     | 14       | 1   
sub_42f10e                     | 0x42f10e     | 2        | 1   
sub_42f110                     | 0x42f110     | 14       | 1   
sub_42f11e                     | 0x42f11e     | 2        | 1   
sub_42f120                     | 0x42f120     | 14       | 1   
sub_42f12e                     | 0x42f12e     | 2        | 1   
sub_42f130                     | 0x42f130     | 14       | 1   
sub_42f13e                     | 0x42f13e     | 2        | 1   
sub_42f140                     | 0x42f140     | 14       | 1   
sub_42f14e                     | 0x42f14e     | 2        | 1   
sub_42f150                     | 0x42f150     | 14       | 1   
sub_42f15e                     | 0x42f15e     | 2        | 1   
sub_42f160                     | 0x42f160     | 14       | 1   
sub_42f16e                     | 0x42f16e     | 2        | 1   
sub_42f170                     | 0x42f170     | 14       | 1   
sub_42f17e                     | 0x42f17e     | 2        | 1   
sub_42f180                     | 0x42f180     | 14       | 1   
sub_42f18e                     | 0x42f18e     | 2        | 1   
sub_42f190                     | 0x42f190     | 14       | 1   
sub_42f19e                     | 0x42f19e     | 2        | 1   
sub_42f1a0                     | 0x42f1a0     | 14       | 1   
sub_42f1ae                     | 0x42f1ae     | 2        | 1   
sub_42f1b0                     | 0x42f1b0     | 14       | 1   
sub_42f1be                     | 0x42f1be     | 2        | 1   
sub_42f1c0                     | 0x42f1c0     | 14       | 1   
sub_42f1ce                     | 0x42f1ce     | 2        | 1   
sub_42f1d0                     | 0x42f1d0     | 14       | 1   
sub_42f1de                     | 0x42f1de     | 2        | 1   
sub_42f1e0                     | 0x42f1e0     | 14       | 1   
sub_42f1ee                     | 0x42f1ee     | 2        | 1   
